id,exam,subject,chapter,year,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,tags
a457d166-1caf-4fc5-a379-b6d93a096681,jee-main,chemistry,some-basic-concepts-of-chemistry,2026,"For the given reaction: <br> $\mathrm{CaCO}_{3}+2 \mathrm{HCl} \longrightarrow \mathrm{CaCl}_{2}+\mathrm{H}_{2} \mathrm{O}+\mathrm{CO}_{2}$ <br> If $90 \mathrm{~g} \mathrm{CaCO}_{3}$ is added to 300 mL of HCl which contains $38.55 \% \mathrm{HCl}$ by mass and has density $1.13 \mathrm{~g} \mathrm{~mL}^{-1}$, then which of the following option is correct ? <br> Given molar mass of $\mathrm{H}, \mathrm{Cl}, \mathrm{Ca}$ and O are 1, 35.5, 40 and $16 \mathrm{~g} \mathrm{~mol}^{-1}$ respectively.",64.97 g of HCl remains unreacted,60.32 g of HCl remains unreacted,$97.30 \mathrm{~g} \text { of } \mathrm{HCl} \text { reacted }$,32.85 g of $\mathrm{CaCO}_{3}$ remains unreacted,a,"Molar masses: HCl = 36.5, CaCO₃ = 100 g/mol<br>HCl solution: mass = 300 × 1.13 = 339 g<br>HCl present: 339 × 0.3855 = 130.74 g = 130.74/36.5 = 3.58 mol<br>CaCO₃: 90/100 = 0.9 mol<br>Reaction: $CaCO_3 + 2HCl → CaCl_2 + H_2O + CO_2$<br>HCl required: 0.9 × 2 = 1.8 mol<br>HCl available: 3.58 mol > 1.8 mol<br>CaCO₃ is limiting. HCl remaining: (3.58 - 1.8) × 36.5 = 1.78 × 36.5 = 64.97 g",2,
7216f145-6d1d-485b-a1a7-77a28f2d59f3,jee-main,chemistry,some-basic-concepts-of-chemistry,2026,$\mathrm{A}+2 \mathrm{~B} \longrightarrow \mathrm{AB}_{2}$ <br> 36.0 g of 'A' (Molar mass: $60 \mathrm{~g} \mathrm{~mol}^{-1}$) and 56.0 g of ' $\mathrm{B}^{\prime}$ (Molar mass: $80 \mathrm{~g} \mathrm{~mol}^{-1}$) are allowed to react. Which of the following statements are correct ? <br> A. 'A' is the limiting reagent. <br> B. $77.0 \mathrm{~g}$ of $\mathrm{AB}_{2}$ is formed. <br> C. Molar mass of $A B_{2}$ is $140 \mathrm{~g} \mathrm{~mol}^{-1}$. <br> D. $15.0 \mathrm{~g}$ of A is left unreacted after the completion of reaction. <br> Choose the correct answer from the options given below :,C and D Only,A and B Only,A and C Only,B and D Only,d,"Reaction: A + 2B → AB₂.<br>Moles of A = 36.0/60 = 0.6 mol;<br>Moles of B = 56.0/80 = 0.7 mol.<br>A requires 1.2 mol of B but only 0.7 available, so B is limiting reagent. <br>So, (A) False - B is limiting.<br>(B) AB₂ formed = 0.7/2 = 0.35 mol;<br>Molar mass AB₂ = 60 + 2(80) = 220 g/mol;<br>Mass = 0.35 × 220 = 77 g True.<br>(C) False - Molar mass is 220 g/mol.<br>(D) A remaining = 0.6 - 0.35 = 0.25 mol = 15 g True.<br>Correct statements: B and D.",2,
ae310c3f-e66e-41ca-9336-f6854c84dc8e,jee-main,chemistry,some-basic-concepts-of-chemistry,2026,"In the reaction, <br> $2 \mathrm{Al}(\mathrm{s})+6 \mathrm{HCl}(\mathrm{aq}) \rightarrow 2 \mathrm{Al}^{3+}(\mathrm{aq})+6 \mathrm{Cl}^{-}(\mathrm{aq})+3 \mathrm{H}_{2}(\mathrm{~g})$",$11.2 \mathrm{~L} \mathrm{H}_{2}(\mathrm{~g})$ at STP is produced for every mole of HCl consumed.,$33.6 \mathrm{~L} \mathrm{H}_{2}(\mathrm{~g})$ is produced regardless of temperature and pressure for every mole of Al that reacts.,$12 \mathrm{~L} \mathrm{HCl}(\mathrm{aq})$ is consumed for every $6 \mathrm{~L} \mathrm{H}_{2}(\mathrm{~g})$ produced.,$67.2 \mathrm{~L} \mathrm{H}_{2}(\mathrm{~g})$ at STP is produced for every mole of Al that reacts.,a,"Reaction: $2\text{Al}(s) + 6\text{HCl}(aq) \rightarrow 2\text{Al}^{3+}(aq) + 6\text{Cl}^-(aq) + 3\text{H}_2(g)$<br>Checking each option:<br>(1) Per 1 mole HCl: From stoichiometry, 6 mol HCl produces 3 mol H₂, so 1 mol HCl produces 0.5 mol H₂ = 11.2 L at STP. TRUE<br>(2) Per 1 mole Al: 2 mol Al produces 3 mol H₂, so 1 mol Al produces 1.5 mol H₂ = 33.6 L at STP only, not regardless of T and P. FALSE<br>(3) Volume ratio at same T,P: 6 mol HCl : 3 mol H₂ = 2:1, so 12 L HCl : 6 L H₂. TRUE<br>(4) Per 1 mole Al: 1.5 mol H₂ = 33.6 L, not 67.2 L. FALSE<br>Option (1) is correct.",2,
aa1950db-5eec-4123-a1ac-761d021f6666,jee-main,chemistry,some-basic-concepts-of-chemistry,2026,"Aqueous HCl reacts with $\mathrm{MnO}_{2}(\mathrm{~s})$ to form $\mathrm{MnCl}_{2}(\mathrm{aq}), \mathrm{Cl}_{2}(\mathrm{~g})$ and $\mathrm{H}_{2} \mathrm{O}(l)$. What is the weight (in g) of $\mathrm{Cl}_{2}$ liberated when 8.7 g of $\mathrm{MnO}_{2}(\mathrm{~s})$ is reacted with excess aqueous HCl solution? <br> (Given Molar mass in $\mathrm{g} \mathrm{mol}^{-1} \mathrm{Mn}=55, \mathrm{Cl}=35.5, \mathrm{O}=16, \mathrm{H}=1$)",21.3,71,14.2,7.1,d,"The balanced redox equation is: $\text{MnO}_2 + 4\text{HCl} \rightarrow \text{MnCl}_2 + \text{Cl}_2 + 2\text{H}_2\text{O}$.<br>Molar mass of MnO₂ = 55 + 32 = 87 g/mol.<br>Moles of MnO₂ = $\frac{8.7}{87} = 0.1$ mol.<br>From stoichiometry, 1 mol MnO₂ produces 1 mol Cl₂, so 0.1 mol produces 0.1 mol Cl₂.<br>Mass of Cl₂ = $0.1 \times 71 = 7.1$ g.",2,
e37fc625-883a-4b01-a4a4-f332c6b76a95,jee-main,chemistry,some-basic-concepts-of-chemistry,2026,"80 mL of a hydrocarbon on mixing with 264 mL of oxygen in a closed U-tube undergoes complete combustion. The residual gases after cooling to 273 K occupy 224 mL. When the system is treated with KOH solution, the volume decreases to 64 mL. The formula of the hydrocarbon is :",$\mathrm{C}_{2} \mathrm{H}_{2}$,$\mathrm{C}_{2} \mathrm{H}_{4}$,$\mathrm{C}_{2} \mathrm{H}_{6}$,$\mathrm{C}_{4} \mathrm{H}_{10}$,a,"KOH absorbs $CO_2$. Volume of $CO_2$ produced = $224 - 64 = 160$ mL<br>Unreacted $O_2 = 64$ mL, so $O_2$ consumed = $264 - 64 = 200$ mL<br>For hydrocarbon $C_xH_y$: $\frac{CO_2}{\text{Hydrocarbon}} = \frac{160}{80} = 2 \Rightarrow x = 2$<br>$O_2$ consumed per mole = $x + \frac{y}{4} = \frac{200}{80} = 2.5$<br>$2 + \frac{y}{4} = 2.5 \Rightarrow y = 2$<br>Hydrocarbon is $C_2H_2$",3,
1f10526c-96f3-4a8e-9e33-edf1833da514,jee-main,chemistry,some-basic-concepts-of-chemistry,2026,"14.0 g of calcium metal is allowed to react with excess HCl at 1.0 atm pressure and 273 K. Which of the following statements is incorrect? <br> [Given : Molar mass in $\mathrm{g} \mathrm{mol}^{-1}$ of $\mathrm{Ca}-40, \mathrm{Cl}-35.5, \mathrm{H}-1$]",0.35 mol of $\mathrm{H}_{2}$ gas is evolved.,7.84 L of $\mathrm{H}_{2}$ gas is evolved.,The limiting reagent is calcium metal.,33.3 g of $\mathrm{CaCl}_{2}$ is produced.,d,"Reaction: $Ca + 2HCl \rightarrow CaCl_2 + H_2$<br>Moles of Ca = $\frac{14.0}{40} = 0.35$ mol. Since HCl is in excess, Ca is limiting.<br>Option (1): $H_2$ evolved = 0.35 mol <br>Option (2): Volume of $H_2$ at STP = $0.35 \times 22.4 = 7.84$ L <br>Option (3): Ca is limiting reagent <br>Option (4): Mass of $CaCl_2 = 0.35 \times 111 = 38.85$ g, not 33.3 g <br>Statement (4) is incorrect.",2,
524dc85a-fff2-4eee-b126-c36abc34fc95,jee-main,chemistry,some-basic-concepts-of-chemistry,2025,"On combustion 0.210 g of an orgainc compound containing $\mathrm{C}, \mathrm{H}$ and O gave $0.127 \mathrm{~g} \mathrm{H}_2 \mathrm{O}$ and 0.307 $\mathrm{g} \mathrm{CO}_2$. The percentages of hydrogen and oxygen in the given organic compound respectively are:","$53.41,39.6$","$6.72,53.41$","$7.55,43.85$","$6.72,39.87$",b,"<img src=""[IMAGE REMOVED]""/><br/><img src=""[IMAGE REMOVED]""/><br/>",1,
ff9cd00e-cc81-47ae-9ac9-c2fd485adccf,jee-main,chemistry,some-basic-concepts-of-chemistry,2025,Mass of magnesium required to produce 220 mL of hydrogen gas at STP on reaction with excess of dil. HCl is<br />Given : Molar mass of Mg is $24 \mathrm{~g} \mathrm{~mol}^{-1}$.,235.7 g,0.24 mg,236 mg,2.444 g,c,$\mathrm{Mg}+2 \mathrm{HCl} \rightarrow \mathrm{MgCl}_2+\mathrm{H}_2$<br />Volume $\mathrm{H}_2$ evolved $=220 \mathrm{ml}$<br />Mole of $\mathrm{H}_2=\frac{220 \times 10^{-3}}{22.4}=$ mole of Mg used<br />$\begin{aligned}<br />\therefore \text { Mass of Mg used } & =\frac{220 \times 10^{-3}}{22.4} \times 24 \\<br>& =235.7 \times 10^{-3} \mathrm{gm} \\<br>& =235.7 \mathrm{mg}<br />\end{aligned}$,2,
30896f58-4b0f-4c78-b5c8-24b57e6e136c,jee-main,chemistry,some-basic-concepts-of-chemistry,2025,"Among $10^{-9} \mathrm{~g}$ (each) of the following elements, which one will have the highest number of atoms? Element : $\mathrm{Pb}, \mathrm{Po}, \mathrm{Pr}$ and Pt",Po,Pr,Pb,Pt,b,$\text { No. of atoms }=\frac{\text { Massin } g}{\operatorname{Molar} \operatorname{Mas}(\mathrm{~g} / \mathrm{mol})} \times \mathrm{N}_{\mathrm{A}}$<br />Therefore for the same Mass element having the least Molar mass will have the higher no. of atoms.<br />- $\mathrm{M}_{\mathrm{Po}}=209$<br />- $\mathrm{M}_{\mathrm{Pr}}=141$<br />- $\mathrm{M}_{\mathrm{Pb}}=207$<br />- $\mathrm{M}_{\mathrm{Pt}}=195$,2,
539284d9-04ab-4ffb-a308-8ba3808e7b67,jee-main,chemistry,some-basic-concepts-of-chemistry,2025,"On complete combustion 1.0 g of an organic compound (X) gave 1.46 g of \(\mathrm{CO}_2\) and 0.567 g of \(\mathrm{H}_2 \mathrm{O}\). The empirical formula mass of compound \((\mathrm{X})\) is ________ g.<br />(Given molar mass in \(\mathrm{g} \mathrm{mol}^{-1} \mathrm{C}: 12, \mathrm{H}: 1, \mathrm{O}: 16\))",30,45,60,15,a,Moles of ' C ' \(=\mathrm{n}_{\mathrm{CO}_2}=\frac{1.46}{44}=0.033\)<br />Moles of ' C ' \(=\mathrm{W}_{\mathrm{C}}=0.033 \times 12\)<br />Moles of 'H' \(=2 \times \mathrm{n}_{\mathrm{H}_2 \mathrm{O}}=2 \times \frac{0.567}{18}=0.063\)<br />Mass of ' H ' \(=0.0063\)<br />Mass of Oxygen \((\mathrm{O})=1-\left(\mathrm{W}_{\mathrm{c}}+\mathrm{W}_{\mathrm{H}}\right)\) \(=1-(0.033 \times 12+0.063 \times 1)=0.541 \mathrm{gm}\)<br />Moles of ' O ' \(=\frac{0.541}{16}=0.033\)<br />Empirical formula \(=\mathrm{CH}_2 \mathrm{O}\)<br />Empirical formula mass \(=30\).,3,
